FIPS_STATE,INSURANCE,FIPS_COUNTY,AGECAT2,AGECAT6,RACECAT,SEXCAT,DEMENTIACAT,atc,bene_cnt,inc_cnt,prev_cnt,covid_cnt,mort_cnt
01,,73,0,0,,,,,26470,651,1980,258,169
01,,73,1,1,,,,,35939,812,2102,252,220
01,,73,1,2,,,,,34720,1180,3389,408,408
01,,73,1,3,,,,,21766,1295,3707,411,518
01,,73,1,4,,,,,14304,1247,3932,484,700
01,,73,1,5,,,,,15654,2120,7051,980,1846
01,,75,0,0,,,,,875,14,50,12,
01,,75,1,1,,,,,800,14,52,15,
01,,75,1,2,,,,,901,38,97,21,13
01,,75,1,3,,,,,625,35,119,28,16
01,,75,1,4,,,,,428,42,127,28,22
01,,75,1,5,,,,,368,40,157,38,49
01,,77,0,0,,,,,4203,77,243,39,23
01,,77,1,1,,,,,5031,92,246,29,30
01,,77,1,2,,,,,5228,160,485,67,59
01,,77,1,3,,,,,3705,212,632,70,90
01,,77,1,4,,,,,2461,253,742,103,111
01,,77,1,5,,,,,2312,293,1031,160,280
01,,79,0,0,,,,,1276,28,58,,
01,,79,1,1,,,,,1387,29,72,,
01,,79,1,2,,,,,1422,26,104,12,17
01,,79,1,3,,,,,986,49,147,20,19
01,,79,1,4,,,,,618,52,144,24,34
01,,79,1,5,,,,,502,63,198,41,48
01,,81,0,0,,,,,4203,88,252,35,27
01,,81,1,1,,,,,5196,107,280,21,34
